,key_mlbam,name_first,name_last,at_bats,woba_value,woba_P,hold_percent,hold_P,swing_percent,swing_P,Correct,Correct_P,Precision,Precision_P,ops,ops_P,Decision,Decision_P,Total_Score
0,687401,Joey,Ortiz,32,0.3703125,105.43375618553486,0.711340206185567,116.8730145376822,0.9310344827586207,143.89673166176357,0.8923766816143498,115.87407407147252,0.5301204819277109,90.85546280332859,0.8498498498498499,123.46888096477,467.4992830742469,116.14406768774741,239.6129486525174
1,656555,Rhys,Hoskins,55,0.3809090909090909,108.45077122636376,0.6871165644171779,112.8930763703547,0.8936170212765957,138.11364788339483,0.8820375335120644,114.5315477171612,0.5104166666666666,87.47849602773137,0.795946410168327,115.63761832607508,453.0167679986421,112.54607669155004,228.18369501762513
2,602104,Ramón,Urías,31,0.2725806451612903,77.60796970891147,0.6823529411764706,112.1104142862745,0.7627118644067796,117.88150333873288,0.7916666666666666,102.79699577906804,0.7013888888888888,120.20854556191658,0.47771836007130125,69.4044381425139,452.99745896599205,112.54127961554097,181.94571775805485
3,666397,Edouard,Julien,44,0.47613636363636364,135.5634640329547,0.7579908675799087,124.53770631233927,0.6475409836065574,100.08118161417741,0.8064516129032258,104.71680384964488,0.7121212121212122,122.04792024648236,0.7647887323943662,111.11093210157141,451.3836120226439,112.14034050095387,223.25127260252526
4,672515,Gabriel,Moreno,53,0.3113207547169811,88.63788434991228,0.7570093457943925,124.37644253319367,0.6761904761904762,104.50912539385229,0.8119122257053292,105.42585807006881,0.6829268292682927,117.0443988663723,0.7415553809897879,107.73551713916203,451.3558248634871,112.13343714556746,219.86895428472948
5,656582,Connor,Joe,54,0.39629629629629626,112.83174907931594,0.7195121951219512,118.21567023668347,0.646551724137931,99.9282858762247,0.7928571428571428,102.95157772760801,0.7396694214876033,126.76930981114319,0.8762668918918919,127.30683259811615,447.8648436516594,111.2661486323169,238.57298123043304
6,694671,Wyatt,Langford,65,0.2984615384615385,84.97666451149634,0.6726726726726726,110.51994863884573,0.8813559322033898,136.21862608031356,0.8622448979591837,111.96149701393662,0.515527950310559,88.35450074140748,0.600375234521576,87.2244177938457,447.0545724745034,111.06484738148677,198.28926517533247
7,624431,Jose,Trevino,34,0.29705882352941176,84.57728964796442,0.7272727272727273,119.49072369070011,0.7837837837837838,121.13828961716034,0.8514851485148515,110.56435606461514,0.5472972972972973,93.79933606062316,0.6742424242424242,97.9560773410667,444.99270543309876,110.55260354734592,208.50868088841264
8,681297,Colton,Cowser,37,0.7216216216216216,205.45695355210626,0.639269406392694,105.0318005043825,0.8648648648648649,133.66983681893555,0.8828125,114.63217621415814,0.5315315315315315,91.09729757328012,1.2215944758317638,177.4771189879493,444.4311111107563,110.4130828007936,287.8902017887429
9,545361,Mike,Trout,68,0.44632352941176473,127.07528419879806,0.6973684210526316,114.57745380210224,0.7152317880794702,110.54318458784486,0.810989010989011,105.30597971306265,0.6625,113.54351729313706,0.904312015503876,131.38131708440758,443.9701353961468,110.29855942816309,241.67987651257067
10,650402,Gleyber,Torres,59,0.2593220338983051,73.83303586989612,0.7,115.00982155229885,0.644808743169399,99.65889814745093,0.789838337182448,102.55958932230347,0.7383419689119171,126.54180243833828,0.5243055555555556,76.17277362523961,443.7701114603915,110.24886610375675,186.42163972899635
11,686554,Oliver,Dunn,32,0.3765625,107.21322886377173,0.5965909090909092,98.01973427752743,0.8484848484848485,131.1382111216072,0.8947368421052632,116.18053816581653,0.5555555555555556,95.21468955399334,0.6041509433962264,87.7729647515044,440.5531731189445,109.4496599487882,197.2226247002926
12,662139,Daulton,Varsho,49,0.4755102040816327,135.385186621777,0.6338028169014085,104.1336412445362,0.7926829268292683,122.51370333442834,0.8338983050847457,108.2807249026972,0.6153846153846154,105.46857919826955,0.8810068649885583,127.99547091952306,440.3966486799313,109.4107735040433,237.40624442356636
13,543685,Anthony,Rendon,61,0.35655737704918034,101.51745770925125,0.7091633466135459,116.51535706493566,0.6521739130434783,100.79722749253972,0.825136612021858,107.14302925031424,0.6722972972972973,115.22264121027166,0.6319678714859438,91.81429626873852,439.6782550180613,109.23229801731745,201.04659428605595
14,606115,Orlando,Arcia,66,0.41893939393939394,119.27859285636269,0.618421052631579,101.60642129620388,0.811965811965812,125.49398408615342,0.7971014492753623,103.50269597892436,0.6291208791208791,107.82278855537378,0.8625541125541125,125.31459653423784,438.4258899166555,108.9211643271202,234.23576086135802
15,676914,Davis,Schneider,35,0.37142857142857144,105.75151916379146,0.7206703910614525,118.4059615342901,0.6949152542372882,107.40314748640107,0.8235294117647058,106.93433616646088,0.5934065934065934,101.70184422690278,0.7523809523809524,109.30829047754347,434.4452894140548,107.9322363202755,217.24052679781897
16,680757,Steven,Kwan,84,0.4113095238095238,117.10624958682673,0.6755555555555556,110.99360556158364,0.6691176470588235,103.41597899112038,0.7894736842105263,102.5122395580734,0.6829268292682927,117.0443988663723,0.8786041189931351,127.64639236246981,433.96622297714976,107.81321854487074,235.45961090734056
17,666023,Freddy,Fermin,32,0.2078125,59.167466551376116,0.5849056603773585,96.09985089275645,0.8297872340425532,128.2483873202952,0.8104575163398693,105.23696575112025,0.608433734939759,104.2772925356385,0.45906432748538006,66.69432113858554,433.8624964998104,107.78744906149123,174.48177020007677
18,694384,Nolan,Schanuel,48,0.28958333333333336,82.44890075830857,0.7244444444444444,119.02603754301404,0.6805555555555556,105.18377350378914,0.8282828282828283,107.5515617720393,0.5945945945945946,101.90545152265233,0.5472715023579608,79.50933919913528,433.6668243414948,107.73883687913542,187.24817607827072
